Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17415328BAEcobici,130  -  RETIRO II,393  -  BARRIO 31,520,-34.5927,-58.375,-34.58309,-58.37782,1.0993228191379913
17575845BAEcobici,094  -  GUZMAN,254  -  PLAZA RAFAEL HERNANDEZ,2084,-34.5917,-58.4497,-34.5625,-58.4552,3.285706209141445
17425224BAEcobici,116  -  HOSPITAL ALEMAN,114  -  DELLA PAOLERA,1136,-34.5921,-58.4028,-34.5949,-58.3724,2.800050371801547
17434740BAEcobici,066  -  BILLINGHURST,352  -  SAN JOSE DE FLORES,1986,-34.5947,-58.4139,-34.6289,-58.4627,5.865713439784499
17428472BAEcobici,111  -  MACACHA GUEMES,004  -  PLAZA ROMA,276,-34.6048,-58.3639,-34.6018,-58.3691,0.5811952589337224
17472219BAEcobici,390  -  DE LOS OMBUES,254  -  PLAZA RAFAEL HERNANDEZ,1140,-34.56,-58.428,-34.5625,-58.4552,2.506203401074101
17543367BAEcobici,191  -  RIVADAVIA Y 9 DE JULIO,186  -  MANZANA 66,1487,-34.6084,-58.3808,-34.6135,-58.4061,2.383804605708762
17501887BAEcobici,208  -  NICASIO ORONO,028  -  PLAZA DE LA BANDERA,1448,-34.5964,-58.4594,-34.6295,-58.4944,4.879106293856444
17382079BAEcobici,114  -  DELLA PAOLERA,196  -  HOSPITAL ARGERICH,1276,-34.5949,-58.3724,-34.6278,-58.3661,3.703466755819587
17651369BAEcobici,103  -  MALBA,005  -  PLAZA ITALIA,1877,-34.5771,-58.403,-34.5808,-58.4204,1.6452718592642783
17553940BAEcobici,310  -  FREIRE II,364  -  CERRETTI Y MANUELA PEDRAZA,1490,-34.5799,-58.4443,-34.5691,-58.5003,5.26593646830121
17640389BAEcobici,193  -  ARENALES Y AGUERO,334  -  CENTRO DE EXPOSICIONES,616,-34.5909,-58.4061,-34.5841,-58.3907,1.5997273172118922
17643798BAEcobici,117  -  HUMBERTO 1°,373  -  JORGELINA DE SIMONE,560,-34.6199,-58.3742,-34.624,-58.3906,1.5683942772750266
17563130BAEcobici,044  -  ECOPARQUE,118  -  MEXICO,1536,-34.5758,-58.4143,-34.6168,-58.4027,4.681002279584723
17536772BAEcobici,174  -  MINISTERIO DE EDUCACION,130  -  RETIRO II,579,-34.5972,-58.3918,-34.5927,-58.375,1.6171349578512022
17417259BAEcobici,007  -  OBELISCO,007  -  OBELISCO,1452,-34.6058,-58.3807,-34.6058,-58.3807,0.0
17483376BAEcobici,215  -  HOSPITAL ALVAREZ,278  -  DONATO ALVAREZ,918,-34.6231,-58.4684,-34.6021,-58.4655,2.3501265309592845
17533614BAEcobici,187  -  JOSE MARIA MORENO,049  -  33 ORIENTALES,730,-34.6202,-58.4356,-34.6288,-58.4223,1.547734776758284
17547334BAEcobici,058  -  MINISTRO CARRANZA,261  -  QUINTEROS LIDORO,1120,-34.5749,-58.4353,-34.5523,-58.4509,2.890627352923313
17696070BAEcobici,255  -  BARRANCAS DE BELGRANO,390  -  DE LOS OMBUES,607,-34.5599,-58.4482,-34.56,-58.428,1.8498019947819995
17476651BAEcobici,347  -  CARABOBO,219  -  PARQUE CHACABUCO II,474,-34.626,-58.4553,-34.6363,-58.4439,1.5490805668710446
17686674BAEcobici,140  -  LAS CASAS,161  -  HUMAHUACA,1583,-34.6359,-58.4157,-34.6021,-58.4195,3.7744403234189114
17568933BAEcobici,275  -  PLAZA 24 DE SEPTIEMBRE,024  -  ALSINA,2818,-34.6071,-58.4485,-34.6108,-58.3806,6.227725918029482
17491135BAEcobici,182  -  RAVIGNANI Y GUATEMALA,015  -  AMENABAR,1112,-34.5781,-58.4351,-34.5719,-58.4475,1.328224820100553
17582846BAEcobici,137  -  AZOPARDO Y CHILE,137  -  AZOPARDO Y CHILE,1729,-34.6157,-58.3676,-34.6157,-58.3676,0.0
17630056BAEcobici,097  -  AVELINO DIAZ,333  -  PARQUE DE LA ESTACION,2834,-34.6353,-58.4275,-34.608,-58.4118,3.358405383060306
17391195BAEcobici,197  -  PLAZA CIUDAD DE UDINE,207  -  PLAZA ARENALES,829,-34.621,-58.493,-34.6001,-58.5117,2.8861102636201372
17427366BAEcobici,229  -  RIGLOS,161  -  HUMAHUACA,1599,-34.631,-58.4352,-34.6021,-58.4195,3.520076601117187
17653362BAEcobici,199  -  ESTADOS UNIDOS Y BOEDO,155  -  PARQUE JOSE EVARISTO URIBURU,851,-34.6224,-58.4158,-34.6381,-58.4112,1.7957777050858479
17677929BAEcobici,288  -  SECRETARIA DE DEPORTES,292  -  PLAZA BOLIVIA,900,-34.5472,-58.4564,-34.5635,-58.4367,2.5573004754367035
17432426BAEcobici,272  -  PLAZA BRUNO GIORDANO,080  -  VALLE,532,-34.6159,-58.4407,-34.6244,-58.4342,1.116735593805578
17527634BAEcobici,304  -  NAVARRO,055  -  HABANA,230,-34.5923,-58.492,-34.5865,-58.4949,0.6974296062221275
17446934BAEcobici,008  -  CONGRESO,147  -  CONSTITUCION,1184,-34.6101,-58.3891,-34.6261,-58.3793,1.9923570158072386
17425316BAEcobici,275  -  PLAZA 24 DE SEPTIEMBRE,272  -  PLAZA BRUNO GIORDANO,934,-34.6071,-58.4485,-34.6159,-58.4407,1.2112130995324342
17509204BAEcobici,221  -  CULPINA,167  -  HIPOLITO YRIGOYEN,1269,-34.6316,-58.4663,-34.615,-58.4273,4.017724450377843
17672036BAEcobici,350  -  PLAZA IRLANDA,136  -  ACEVEDO,570,-34.6131,-58.4572,-34.5998,-58.4428,1.9809109045348687
17467405BAEcobici,282  -  TRONADOR,267  -  PLAZA 25 DE AGOSTO,337,-34.5841,-58.4663,-34.5797,-58.4618,0.6396022400300393
17382744BAEcobici,089  -  CABELLO,001  -  FACULTAD DE DERECHO,445,-34.5825,-58.4054,-34.5842,-58.3905,1.377085092830986
17591344BAEcobici,136  -  ACEVEDO,187  -  JOSE MARIA MORENO,1217,-34.5998,-58.4428,-34.6202,-58.4356,2.3621422596454407
17552151BAEcobici,172  -  BRASIL,117  -  HUMBERTO 1°,606,-34.6254,-58.3711,-34.6199,-58.3742,0.6741543726663985
17634200BAEcobici,302  -  ESTACION VILLA LURO,197  -  PLAZA CIUDAD DE UDINE,936,-34.637,-58.5014,-34.621,-58.493,1.9380314949078372
17504406BAEcobici,242  -  PLAZOLETA RAFAEL DEL RIEGO,240  -  ECHEVERRIA,871,-34.5674,-58.4464,-34.5653,-58.4594,1.2130408554076175
17383729BAEcobici,051  -  TUCUMAN,051  -  TUCUMAN,103,-34.6014,-58.3819,-34.6014,-58.3819,0.0
17655898BAEcobici,073  -  RUY DIAZ DE GUZMAN,273  -  PLAZOLETA COLOMBIA,499,-34.6305,-58.3716,-34.6377,-58.3737,0.8233348485555058
17569070BAEcobici,030  -  PENA,030  -  PENA,1085,-34.5906,-58.3974,-34.5906,-58.3974,0.0
17392605BAEcobici,112  -  9 DE JULIO,079  -  AZUCENA VILLAFLOR,408,-34.6121,-58.3805,-34.612,-58.3639,1.5191947836900361
17381495BAEcobici,273  -  PLAZOLETA COLOMBIA,147  -  CONSTITUCION,549,-34.6377,-58.3737,-34.6261,-58.3793,1.3878968900783173
17394036BAEcobici,066  -  BILLINGHURST,025  -  PLAZA GUEMES,333,-34.5947,-58.4139,-34.5898,-58.4166,0.5982895352242322
17556248BAEcobici,121  -  YATAY,024  -  ALSINA,1738,-34.6008,-58.4283,-34.6108,-58.3806,4.504993941305876
17490677BAEcobici,165  -  PLAZA MONSENOR MIGUEL DE ANDREA,025  -  PLAZA GUEMES,580,-34.597,-58.4076,-34.5898,-58.4166,1.1487601300377766
17547750BAEcobici,183  -  VIRREY CEVALLOS,167  -  HIPOLITO YRIGOYEN,1777,-34.6156,-58.3897,-34.615,-58.4273,3.4414875489285914
17514006BAEcobici,393  -  BARRIO 31,393  -  BARRIO 31,105,-34.58309,-58.37782,-34.58309,-58.37782,0.0
17437584BAEcobici,124  -  UGARTECHE,002  -  RETIRO I,1017,-34.5807,-58.4125,-34.5927,-58.3751,3.6745476740857512
17535649BAEcobici,127  -  PLAZA LEONARDO N. ALEM,055  -  HABANA,640,-34.5763,-58.5025,-34.5865,-58.4949,1.3305950081861893
17421900BAEcobici,397  -  PARQUE SANTOJANNI,187  -  JOSE MARIA MORENO,3226,-34.6484,-58.5136,-34.6202,-58.4356,7.794811469364371
17578996BAEcobici,049  -  33 ORIENTALES,393  -  BARRIO 31,3723,-34.6288,-58.4223,-34.58309,-58.37782,6.512009623500658
17568026BAEcobici,164  -  FACULTAD DE INGENIERIA,041  -  PARQUE PATRICIOS II,1590,-34.6173,-58.3669,-34.6374,-58.4057,4.195091731850427
17475298BAEcobici,069  -  ECUADOR,025  -  PLAZA GUEMES,572,-34.5958,-58.4046,-34.5898,-58.4166,1.2851777451199404
17694985BAEcobici,001  -  FACULTAD DE DERECHO,009  -  PARQUE LAS HERAS,826,-34.5842,-58.3905,-34.5855,-58.4077,1.581200227706613
17648127BAEcobici,146  -  HOSPITAL FRANCES,051  -  TUCUMAN,1109,-34.6222,-58.4077,-34.6014,-58.3819,3.3051623867952737
17601352BAEcobici,327  -  PLAZA RICCHERI,327  -  PLAZA RICCHERI,297,-34.6107,-58.5191,-34.6107,-58.5191,0.0
17606657BAEcobici,258  -  PLAZA J.J. PASO,396  -  PLAZA ALBERTI,587,-34.5691,-58.4538,-34.55571,-58.45789,1.5352816065404333
17591933BAEcobici,070  -  ARAOZ,066  -  BILLINGHURST,465,-34.5927,-58.4258,-34.5947,-58.4139,1.1117430015454524
17677566BAEcobici,278  -  DONATO ALVAREZ,278  -  DONATO ALVAREZ,1265,-34.6021,-58.4655,-34.6021,-58.4655,0.0
17550674BAEcobici,222  -  SIMON BOLIVAR,134  -  SOLDADO DE LA FRONTERA,1804,-34.6334,-58.4493,-34.6832,-58.466,5.744310404631785
17654254BAEcobici,162  -  LARREA Y BARTOLOME MITRE,194  -  PERON Y ACUNA DE FIGUEROA,898,-34.609,-58.4019,-34.606,-58.4227,1.9326298604043943
17541003BAEcobici,336  -  LA PAMPA,015  -  AMENABAR,2113,-34.5656,-58.4555,-34.5719,-58.4475,1.0135589720548854
17407017BAEcobici,045  -  URUGUAY,064  -  RIOBAMBA,606,-34.6022,-58.3866,-34.594,-58.3945,1.163717713775308
17474418BAEcobici,100  -  PLAZA GURRUCHAGA,243  -  PLAZOLETA CELEDONIO FLORES,933,-34.5931,-58.4351,-34.5817,-58.4516,1.9718842461703026
17474034BAEcobici,391  -  PLAZA REPUBLICA DE ECUADOR,254  -  PLAZA RAFAEL HERNANDEZ,1107,-34.56553,-58.41986,-34.5625,-58.4552,3.253513192546353
17624885BAEcobici,027  -  MONTEVIDEO,149  -  LIMA,667,-34.5994,-58.3897,-34.6153,-58.3816,1.917125705481954
17410390BAEcobici,397  -  PARQUE SANTOJANNI,110  -  PLAZA CD DE BANFF,1805,-34.6484,-58.5136,-34.6281,-58.5217,2.3757839605047546
17428547BAEcobici,182  -  RAVIGNANI Y GUATEMALA,255  -  BARRANCAS DE BELGRANO,1308,-34.5781,-58.4351,-34.5599,-58.4482,2.3525066046805576
17611303BAEcobici,260  -  SAN MIGUEL DE GARICOITS,260  -  SAN MIGUEL DE GARICOITS,81,-34.5772,-58.4576,-34.5772,-58.4576,0.0
17608871BAEcobici,041  -  PARQUE PATRICIOS II,107  -  HOSPITAL GARRAHAN,817,-34.6374,-58.4057,-34.6303,-58.3963,1.1674398408269069
17423905BAEcobici,182  -  RAVIGNANI Y GUATEMALA,182  -  RAVIGNANI Y GUATEMALA,1867,-34.5781,-58.4351,-34.5781,-58.4351,0.0
17455087BAEcobici,074  -  INSTITUTO LELOIR,064  -  RIOBAMBA,1723,-34.6046,-58.4348,-34.594,-58.3945,3.872372475836894
17501584BAEcobici,008  -  CONGRESO,075  -  PLAZA PRIMERO DE MAYO,374,-34.6101,-58.3891,-34.6123,-58.3989,0.9296234029505943
17414513BAEcobici,127  -  PLAZA LEONARDO N. ALEM,263  -  PLAZA ECHEVERRIA,512,-34.5763,-58.5025,-34.5717,-58.4897,1.2786925977912251
17452986BAEcobici,244  -  UADE,333  -  PARQUE DE LA ESTACION,1666,-34.6171,-58.3815,-34.608,-58.4118,2.9517531806402366
17531895BAEcobici,121  -  YATAY,325  -  MEDRANO,533,-34.6008,-58.4283,-34.6094,-58.4215,1.140960869278285
17536434BAEcobici,137  -  AZOPARDO Y CHILE,140  -  LAS CASAS,1428,-34.6157,-58.3676,-34.6359,-58.4157,4.941185717232656
17669082BAEcobici,257  -  PLAZA FRANCISCO RAMIREZ,359  -  PLAZA BALCARCE,3608,-34.5531,-58.4689,-34.5475,-58.4678,0.6307881551284275
17440051BAEcobici,107  -  HOSPITAL GARRAHAN,138  -  HOSPITAL BRITANICO,358,-34.6303,-58.3963,-34.6354,-58.3876,0.9773360168110731
17433152BAEcobici,189  -  POSADAS,083  -  PARANA,762,-34.5885,-58.3855,-34.6031,-58.3893,1.6602890602785036
17444320BAEcobici,397  -  PARQUE SANTOJANNI,397  -  PARQUE SANTOJANNI,201,-34.6484,-58.5136,-34.6484,-58.5136,0.0
17447046BAEcobici,391  -  PLAZA REPUBLICA DE ECUADOR,160  -  GODOY CRUZ Y LIBERTADOR,1214,-34.56553,-58.41986,-34.5728,-58.4207,0.8120377271413127
17499884BAEcobici,208  -  NICASIO ORONO,275  -  PLAZA 24 DE SEPTIEMBRE,518,-34.5964,-58.4594,-34.6071,-58.4485,1.552699837214327
17646800BAEcobici,272  -  PLAZA BRUNO GIORDANO,167  -  HIPOLITO YRIGOYEN,455,-34.6159,-58.4407,-34.615,-58.4273,1.2303317158199378
17508385BAEcobici,366  -  VILLA OLIMPICA,360  -  PLAZA RAMON FALCON,1583,-34.6774,-58.4542,-34.6354,-58.4827,5.3484586701355346
17478049BAEcobici,182  -  RAVIGNANI Y GUATEMALA,182  -  RAVIGNANI Y GUATEMALA,2864,-34.5781,-58.4351,-34.5781,-58.4351,0.0
17449400BAEcobici,005  -  PLAZA ITALIA,160  -  GODOY CRUZ Y LIBERTADOR,418,-34.5808,-58.4204,-34.5728,-58.4207,0.8899833392304171
17400879BAEcobici,009  -  PARQUE LAS HERAS,066  -  BILLINGHURST,665,-34.5855,-58.4077,-34.5947,-58.4139,1.1698814181019945
17611638BAEcobici,393  -  BARRIO 31,393  -  BARRIO 31,2320,-34.58309,-58.37782,-34.58309,-58.37782,0.0
17625116BAEcobici,158  -  VILLARROEL,113  -  GUATEMALA,1244,-34.5925,-58.4452,-34.5857,-58.4251,1.9892714107623883
17405134BAEcobici,255  -  BARRANCAS DE BELGRANO,256  -  PLAZA NORUEGA,1313,-34.5599,-58.4482,-34.5622,-58.4594,1.0570070943188477
17376440BAEcobici,051  -  TUCUMAN,022  -  ARENALES,764,-34.6014,-58.3819,-34.5943,-58.3828,0.7937701590813198
17385552BAEcobici,033  -  FACULTAD DE MEDICINA,174  -  MINISTERIO DE EDUCACION,306,-34.5972,-58.3988,-34.5972,-58.3918,0.6407217156077641
17539306BAEcobici,152  -  JULIETA LANTERI,111  -  MACACHA GUEMES,971,-34.6181,-58.36,-34.6048,-58.3639,1.521351198684581
17415446BAEcobici,035  -  INGENIERO BUTTY,189  -  POSADAS,538,-34.5962,-58.3718,-34.5885,-58.3855,1.518466118445956
17419218BAEcobici,083  -  PARANA,027  -  MONTEVIDEO,831,-34.6031,-58.3893,-34.5994,-58.3897,0.41304695153499105
17395094BAEcobici,033  -  FACULTAD DE MEDICINA,083  -  PARANA,470,-34.5972,-58.3988,-34.6031,-58.3893,1.0892505441776321
17515251BAEcobici,221  -  CULPINA,327  -  PLAZA RICCHERI,1694,-34.6316,-58.4663,-34.6107,-58.5191,5.361346663845346
17405240BAEcobici,255  -  BARRANCAS DE BELGRANO,233  -  MONROE,931,-34.5599,-58.4482,-34.5641,-58.4698,2.0323091140124334
17407198BAEcobici,060  -  25 DE MAYO,061  -  MINISTERIO DE ECONOMIA,274,-34.6015,-58.3712,-34.6088,-58.3707,0.8130118584430964
17616467BAEcobici,128  -  PARQUE DEL BAJO,049  -  33 ORIENTALES,1705,-34.6052,-58.368,-34.6288,-58.4223,5.61936259021703
17672333BAEcobici,162  -  LARREA Y BARTOLOME MITRE,333  -  PARQUE DE LA ESTACION,650,-34.609,-58.4019,-34.608,-58.4118,0.9128380440312053
17532897BAEcobici,130  -  RETIRO II,063  -  RECONQUISTA,388,-34.5927,-58.375,-34.5985,-58.3728,0.6756380368974367
17403307BAEcobici,122  -  COSTA RICA,182  -  RAVIGNANI Y GUATEMALA,590,-34.5916,-58.4204,-34.5781,-58.4351,2.0160224027145115
17405817BAEcobici,061  -  MINISTERIO DE ECONOMIA,026  -  JUANA MANSO I,480,-34.6088,-58.3707,-34.6009,-58.3638,1.0818789432551714
17408429BAEcobici,145  -  RAVIGNANI,145  -  RAVIGNANI,1486,-34.5803,-58.4378,-34.5803,-58.4378,0.0
17553915BAEcobici,012  -  PLAZA VICENTE LOPEZ,128  -  PARQUE DEL BAJO,1089,-34.5928,-58.3888,-34.6052,-58.368,2.350671776967435
17588554BAEcobici,079  -  AZUCENA VILLAFLOR,006  -  PARQUE LEZAMA,674,-34.612,-58.3639,-34.6282,-58.3694,1.8703438534050705
17426219BAEcobici,370  -  BEAUCHEF,340  -  PLAZA NUEVA POMPEYA,696,-34.6401,-58.4304,-34.6517,-58.4146,1.937210421917623
17651011BAEcobici,135  -  MARCELO T. DE ALVEAR,045  -  URUGUAY,491,-34.5975,-58.3784,-34.6022,-58.3866,0.9145663446496216
17400753BAEcobici,164  -  FACULTAD DE INGENIERIA,168  -  ESTADOS UNIDOS,422,-34.6173,-58.3669,-34.6185,-58.3815,1.342676038685939
17453762BAEcobici,132  -  CORRIENTES,036  -  MAIPU,2333,-34.6031,-58.3725,-34.6046,-58.3766,0.4106484201292657
17436851BAEcobici,138  -  HOSPITAL BRITANICO,340  -  PLAZA NUEVA POMPEYA,1222,-34.6354,-58.3876,-34.6517,-58.4146,3.063633801909376
17600903BAEcobici,018  -  INDEPENDENCIA,079  -  AZUCENA VILLAFLOR,679,-34.6176,-58.3803,-34.612,-58.3639,1.6248536497710937
17685418BAEcobici,009  -  PARQUE LAS HERAS,066  -  BILLINGHURST,580,-34.5855,-58.4077,-34.5947,-58.4139,1.1698814181019945
17426131BAEcobici,044  -  ECOPARQUE,044  -  ECOPARQUE,6275,-34.5758,-58.4143,-34.5758,-58.4143,0.0
17658942BAEcobici,035  -  INGENIERO BUTTY,001  -  FACULTAD DE DERECHO,668,-34.5962,-58.3718,-34.5842,-58.3905,2.1704087116229123
17676793BAEcobici,137  -  AZOPARDO Y CHILE,008  -  CONGRESO,608,-34.6157,-58.3676,-34.6101,-58.3891,2.0637424761303524
17684196BAEcobici,014  -  PACIFICO,014  -  PACIFICO,1395,-34.5782,-58.4266,-34.5782,-58.4266,0.0
17502189BAEcobici,050  -  HOSPITAL RIVADAVIA,054  -  ACUNA DE FIGUEROA,752,-34.5836,-58.4012,-34.5982,-58.4219,2.495201522955412
17445355BAEcobici,099  -  MALABIA,145  -  RAVIGNANI,1207,-34.5963,-58.4357,-34.5803,-58.4378,1.7894744768122866
17539720BAEcobici,032  -  CATEDRAL,150  -  RODRIGO BUENO,613,-34.6072,-58.3735,-34.6192,-58.3556,2.1127793818846916
17594218BAEcobici,003  -  ADUANA,114  -  DELLA PAOLERA,601,-34.6112,-58.3696,-34.5949,-58.3724,1.830505016640508
17653721BAEcobici,164  -  FACULTAD DE INGENIERIA,082  -  HOSPITAL ITALIANO,2387,-34.6173,-58.3669,-34.6074,-58.4262,5.537363693185645
17509896BAEcobici,014  -  PACIFICO,001  -  FACULTAD DE DERECHO,874,-34.5782,-58.4266,-34.5842,-58.3905,3.371598418994396
17445676BAEcobici,316  -  BUENOS AIRES,316  -  BUENOS AIRES,3532,-34.6459,-58.3968,-34.6459,-58.3968,0.0
17415101BAEcobici,220  -  PLAZA FELIX LIMA,281  -  VILLA URQUIZA,2294,-34.5418,-58.4704,-34.5736,-58.4873,3.8598465901846204
17542123BAEcobici,041  -  PARQUE PATRICIOS II,316  -  BUENOS AIRES,448,-34.6374,-58.4057,-34.6459,-58.3968,1.2474919560278075
17677163BAEcobici,100  -  PLAZA GURRUCHAGA,054  -  ACUNA DE FIGUEROA,609,-34.5931,-58.4351,-34.5982,-58.4219,1.334706403030196
17695846BAEcobici,190  -  JUNCAL,333  -  PARQUE DE LA ESTACION,1399,-34.5852,-58.411,-34.608,-58.4118,2.5363016042362445
17475157BAEcobici,122  -  COSTA RICA,161  -  HUMAHUACA,430,-34.5916,-58.4204,-34.6021,-58.4195,1.17044933322028
17679063BAEcobici,199  -  ESTADOS UNIDOS Y BOEDO,076  -  AYACUCHO,2642,-34.6224,-58.4158,-34.607,-58.395,2.560365402173436
17496250BAEcobici,128  -  PARQUE DEL BAJO,151  -  AIME PAINE,475,-34.6052,-58.368,-34.612,-58.3615,0.9620816501651785
17420334BAEcobici,290  -  CLUB EXCURSIONISTAS,290  -  CLUB EXCURSIONISTAS,4914,-34.5581,-58.4433,-34.5581,-58.4433,0.0
17553123BAEcobici,315  -  BEIRO Y SAN MARTIN,274  -  GAVILAN,1740,-34.5976,-58.4985,-34.615,-58.4666,3.502447049785577
17507827BAEcobici,325  -  MEDRANO,013  -  ONCE,959,-34.6094,-58.4215,-34.6101,-58.4066,1.3658355268710656
17481122BAEcobici,146  -  HOSPITAL FRANCES,071  -  CERRITO,1747,-34.6222,-58.4077,-34.6026,-58.3838,3.0876765700414808
17681702BAEcobici,156  -  PLAZA ALEMANIA,038  -  PLAZA LIBERTAD,1967,-34.5778,-58.4073,-34.5971,-58.3827,3.110760613156121
17520317BAEcobici,243  -  PLAZOLETA CELEDONIO FLORES,070  -  ARAOZ,934,-34.5817,-58.4516,-34.5927,-58.4258,2.659734520644406
17679323BAEcobici,073  -  RUY DIAZ DE GUZMAN,179  -  CASA SAN,1705,-34.6305,-58.3716,-34.6385,-58.3643,1.1123762916520106
17656495BAEcobici,167  -  HIPOLITO YRIGOYEN,199  -  ESTADOS UNIDOS Y BOEDO,1045,-34.615,-58.4273,-34.6224,-58.4158,1.3358490908928151
17422353BAEcobici,136  -  ACEVEDO,171  -  PASTEUR,1798,-34.5998,-58.4428,-34.603,-58.3996,3.969946606204768
17570901BAEcobici,354  -  JOSE MARTI,029  -  PARQUE CENTENARIO,1746,-34.6438,-58.463,-34.608,-58.4333,4.819925278740096
17644044BAEcobici,137  -  AZOPARDO Y CHILE,128  -  PARQUE DEL BAJO,501,-34.6157,-58.3676,-34.6052,-58.368,1.1681204672675913
17647583BAEcobici,192  -  HOSPITAL SIRIO,052  -  CAMPANA II,211,-34.5904,-58.5071,-34.583,-58.5131,0.9893208062193564
17404992BAEcobici,066  -  BILLINGHURST,174  -  MINISTERIO DE EDUCACION,574,-34.5947,-58.4139,-34.5972,-58.3918,2.041891809189955
17574087BAEcobici,199  -  ESTADOS UNIDOS Y BOEDO,361  -  PLAZA DON SEGUNDO SOMBRA,1161,-34.6224,-58.4158,-34.6419,-58.4507,3.8597260537725613
17594444BAEcobici,164  -  FACULTAD DE INGENIERIA,150  -  RODRIGO BUENO,560,-34.6173,-58.3669,-34.6192,-58.3556,1.0554078510846208
17445014BAEcobici,111  -  MACACHA GUEMES,064  -  RIOBAMBA,993,-34.6048,-58.3639,-34.594,-58.3945,3.047396593538587
17514172BAEcobici,281  -  VILLA URQUIZA,067  -  PARQUE SARMIENTO I,728,-34.5736,-58.4873,-34.5553,-58.4948,2.1476314942824217
17445370BAEcobici,086  -  SAAVEDRA,168  -  ESTADOS UNIDOS,501,-34.6213,-58.4018,-34.6185,-58.3815,1.8834963176483035
17460505BAEcobici,014  -  PACIFICO,014  -  PACIFICO,172,-34.5782,-58.4266,-34.5782,-58.4266,0.0
17574617BAEcobici,360  -  PLAZA RAMON FALCON,330  -  PARQUE AVELLANEDA,341,-34.6354,-58.4827,-34.6423,-58.4783,0.8664301299815318
17599101BAEcobici,008  -  CONGRESO,207  -  PLAZA ARENALES,4468,-34.6101,-58.3891,-34.6001,-58.5117,11.275676393157653
17601341BAEcobici,275  -  PLAZA 24 DE SEPTIEMBRE,029  -  PARQUE CENTENARIO,1884,-34.6071,-58.4485,-34.608,-58.4333,1.3947030940435634
17469345BAEcobici,243  -  PLAZOLETA CELEDONIO FLORES,278  -  DONATO ALVAREZ,966,-34.5817,-58.4516,-34.6021,-58.4655,2.6008577424912933
17464599BAEcobici,027  -  MONTEVIDEO,045  -  URUGUAY,257,-34.5994,-58.3897,-34.6022,-58.3866,0.4212389572596896
17436315BAEcobici,161  -  HUMAHUACA,120  -  HOSPITAL RAMOS MEJIA,679,-34.6021,-58.4195,-34.6175,-58.4092,1.9547065027307127
17512661BAEcobici,186  -  MANZANA 66,186  -  MANZANA 66,1422,-34.6135,-58.4061,-34.6135,-58.4061,0.0
17597292BAEcobici,069  -  ECUADOR,200  -  AUSTRIA Y FRENCH,1380,-34.5958,-58.4046,-34.5883,-58.4043,0.8344139569309087
17523552BAEcobici,137  -  AZOPARDO Y CHILE,128  -  PARQUE DEL BAJO,437,-34.6157,-58.3676,-34.6052,-58.368,1.1681204672675913
17389020BAEcobici,101  -  FITZ ROY,005  -  PLAZA ITALIA,775,-34.5891,-58.4423,-34.5808,-58.4204,2.207069946442518
17469868BAEcobici,258  -  PLAZA J.J. PASO,391  -  PLAZA REPUBLICA DE ECUADOR,901,-34.5691,-58.4538,-34.56553,-58.41986,3.1329531268948028
17422546BAEcobici,194  -  PERON Y ACUNA DE FIGUEROA,187  -  JOSE MARIA MORENO,802,-34.606,-58.4227,-34.6202,-58.4356,1.9714960908672121
17691478BAEcobici,038  -  PLAZA LIBERTAD,112  -  9 DE JULIO,708,-34.5971,-58.3827,-34.6121,-58.3805,1.6800335288359716
17625740BAEcobici,083  -  PARANA,310  -  FREIRE II,1924,-34.6031,-58.3893,-34.5799,-58.4443,5.657034279250059
17481972BAEcobici,118  -  MEXICO,373  -  JORGELINA DE SIMONE,924,-34.6168,-58.4027,-34.624,-58.3906,1.366349335455592
17631896BAEcobici,156  -  PLAZA ALEMANIA,292  -  PLAZA BOLIVIA,1634,-34.5778,-58.4073,-34.5635,-58.4367,3.126444539152946
17609365BAEcobici,199  -  ESTADOS UNIDOS Y BOEDO,322  -  MARTI Y DIRECTORIO,2795,-34.6224,-58.4158,-34.6365,-58.4701,5.209755327710809
17471597BAEcobici,344  -  UNIVERSIDAD DI TELLA,239  -  AVENIDA CRAMER,1278,-34.5481,-58.4476,-34.558,-58.4673,2.1134611249254127
17499801BAEcobici,373  -  JORGELINA DE SIMONE,091  -  PASCO,366,-34.624,-58.3906,-34.6174,-58.3976,0.9741054410416526
17538434BAEcobici,128  -  PARQUE DEL BAJO,091  -  PASCO,2375,-34.6052,-58.368,-34.6174,-58.3976,3.029574494661912
17494801BAEcobici,171  -  PASTEUR,171  -  PASTEUR,1604,-34.603,-58.3996,-34.603,-58.3996,0.0
17648958BAEcobici,215  -  HOSPITAL ALVAREZ,155  -  PARQUE JOSE EVARISTO URIBURU,2536,-34.6231,-58.4684,-34.6381,-58.4112,5.49286354007774
17560866BAEcobici,120  -  HOSPITAL RAMOS MEJIA,163  -  ONCE II,7190,-34.6175,-58.4092,-34.6088,-58.4061,1.0081353399982365
17437103BAEcobici,303  -  HUAURA,350  -  PLAZA IRLANDA,606,-34.5973,-58.4531,-34.6131,-58.4572,1.7965062256511255
17425605BAEcobici,341  -  COMUNA 4,331  -  CALIFORNIA,1253,-34.6499,-58.4247,-34.647,-58.3743,4.6216115973851455
